protein,calories,diet_type,dietary_restrictions,allergy_note,goal,session_minutes,fitness_level,activity_level,current_weight,target_calories,weeks,avg_daily_steps,bmi,resting_heart_rate,weekly_workouts,diet_quality,meal_recommendation,workout_recommendation,fitness_level_class,predicted_weight,workout_exercises,meal_highlights,fitness_guidance
45.85,275.55,non_veg,egg_allergy|nut_allergy,,muscle,52,beginner,high,93.0,3070.84,9,9540.53,25.25,69.33,12,poor,High-Protein Grilled Chicken,Full Body Strength Basics,advanced,94.02,Goblet Squat|Incline Push-Up|Dumbbell Row|Hip Bridge|Dead Bug,High-protein grilled chicken with vegetables.,"Periodize training, recover well, and target performance blocks."
41.29,315.13,veg,none,,maintenance,37,intermediate,high,105.05,1470.75,3,2702.58,23.7,54.0,8,average,Veggie Brown Rice Plate,Strength and Cardio Mix,advanced,104.74,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Brown rice with mixed vegetables and legumes.,"Periodize training, recover well, and target performance blocks."
49.62,262.61,veg,none,,muscle,54,beginner,low,97.55,2924.98,19,10285.99,28.97,52.29,0,average,High-Protein Chickpea Stir Fry,Full Body Strength Basics,beginner,100.54,Goblet Squat|Incline Push-Up|Dumbbell Row|Hip Bridge|Dead Bug,High-protein chickpea meal for muscle gain.,"Focus on form, 3 sessions/week, and progressive consistency."
14.02,627.41,veg,none,,maintenance,54,intermediate,moderate,112.6,2092.47,20,6675.61,35.24,66.42,8,good,Veggie Brown Rice Plate,Strength and Cardio Mix,intermediate,112.62,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Brown rice with mixed vegetables and legumes.,Use progressive overload and mix strength with conditioning.
39.56,268.19,non_veg,none,,maintenance,67,intermediate,low,84.52,3100.9,18,12649.5,25.81,65.46,10,average,Turkey Rice Bowl,Strength and Cardio Mix,intermediate,86.99,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Lean turkey with rice and roasted vegetables.,Use progressive overload and mix strength with conditioning.
12.07,581.01,veg,none,,fat_loss,52,beginner,low,103.56,1448.05,17,7171.92,18.63,49.79,11,average,Lentil Greens Salad,HIIT Starter Circuit,intermediate,103.18,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,High-fiber lentils with leafy greens and lemon dressing.,Use progressive overload and mix strength with conditioning.
34.58,784.96,non_veg,none,,maintenance,63,beginner,moderate,100.43,2839.07,19,12252.63,17.97,88.48,9,average,Turkey Rice Bowl,Mobility and Core Flow,intermediate,101.6,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Lean turkey with rice and roasted vegetables.,Use progressive overload and mix strength with conditioning.
17.94,523.84,veg,egg_allergy|nut_allergy,,fat_loss,44,beginner,high,74.68,2460.42,17,11041.65,20.1,83.93,12,good,Chickpea Spinach Stir Fry,Sprint Interval Circuit,advanced,73.77,Treadmill Sprint|Walking Recovery|Jump Squats|Push-Up to T Rotation|Plank Knee Drive,Plant-protein chickpeas with sauteed spinach.,"Periodize training, recover well, and target performance blocks."
33.42,751.3,veg,none,,maintenance,86,beginner,moderate,65.16,2583.03,21,9064.35,28.87,60.67,8,average,Veggie Brown Rice Plate,Mobility and Core Flow,intermediate,65.58,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Brown rice with mixed vegetables and legumes.,Use progressive overload and mix strength with conditioning.
23.82,355.09,veg,gluten_intolerance,,muscle,30,intermediate,moderate,60.49,3142.83,14,3581.33,35.21,48.3,7,average,Quinoa Vegetable Plate,Upper Lower Strength Split,beginner,62.08,Barbell Bench Press|Romanian Deadlift|Lat Pulldown|Walking Lunges|Dumbbell Shoulder Press,Gluten-aware quinoa plate with seasonal vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
45.24,553.57,veg,gluten_intolerance,,maintenance,57,beginner,moderate,51.68,1381.58,8,11123.47,20.6,55.02,8,average,Quinoa Vegetable Plate,Mobility and Core Flow,intermediate,50.33,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Gluten-aware quinoa plate with seasonal vegetables.,Use progressive overload and mix strength with conditioning.
18.73,457.85,non_veg,gluten_intolerance|lactose_intolerance,,muscle,64,intermediate,moderate,101.69,2582.16,23,11708.58,25.41,50.28,8,good,Dairy-Free Protein Bowl,Upper Lower Strength Split,advanced,102.07,Barbell Bench Press|Romanian Deadlift|Lat Pulldown|Walking Lunges|Dumbbell Shoulder Press,Lactose-safe protein meal without milk products.,"Periodize training, recover well, and target performance blocks."
34.43,713.01,non_veg,none,,fat_loss,60,advanced,high,66.6,3096.29,2,7950.33,31.74,56.68,10,average,Grilled Fish Salad,Sprint Interval Circuit,advanced,66.61,Treadmill Sprint|Walking Recovery|Jump Squats|Push-Up to T Rotation|Plank Knee Drive,Omega-rich fish with fresh vegetables and olive oil.,"Periodize training, recover well, and target performance blocks."
30.04,265.27,non_veg,none,,maintenance,59,beginner,moderate,48.04,1836.31,2,10393.34,31.99,92.83,12,poor,Turkey Rice Bowl,Mobility and Core Flow,beginner,47.46,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Lean turkey with rice and roasted vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
13.27,507.06,non_veg,none,,maintenance,73,intermediate,low,90.36,1505.72,5,14981.77,28.06,75.47,0,good,Turkey Rice Bowl,Strength and Cardio Mix,beginner,90.11,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Lean turkey with rice and roasted vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
33.28,831.07,non_veg,none,,maintenance,45,beginner,low,79.64,1878.07,4,15881.12,17.09,50.01,11,poor,Turkey Rice Bowl,Mobility and Core Flow,beginner,79.55,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Lean turkey with rice and roasted vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
32.97,815.34,non_veg,nut_allergy,,maintenance,83,beginner,low,86.51,3091.87,21,11183.99,17.79,92.12,8,poor,Turkey Rice Bowl,Mobility and Core Flow,beginner,90.67,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Lean turkey with rice and roasted vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
26.9,381.55,veg,egg_allergy,,maintenance,78,advanced,low,53.54,2931.78,17,9871.67,35.91,87.83,0,average,Chickpea Spinach Stir Fry,Hybrid Endurance Strength,beginner,55.7,Front Squat|Pull-Ups|Farmer Carry|Stationary Bike Intervals|Hanging Knee Raises,Plant-protein chickpeas with sauteed spinach.,"Focus on form, 3 sessions/week, and progressive consistency."
13.65,453.62,non_veg,none,,fat_loss,56,intermediate,moderate,110.5,1648.86,6,8166.35,30.91,61.47,9,average,Grilled Fish Salad,Metabolic Conditioning,intermediate,109.78,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,Omega-rich fish with fresh vegetables and olive oil.,Use progressive overload and mix strength with conditioning.
16.65,846.45,non_veg,gluten_intolerance,,maintenance,51,beginner,moderate,68.41,2147.04,9,12131.13,21.47,80.55,0,good,Chicken Quinoa Plate,Mobility and Core Flow,beginner,67.5,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Lean chicken with quinoa and mixed vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
19.04,692.15,veg,none,,muscle,39,beginner,low,79.21,1339.14,5,7821.82,33.49,70.3,4,poor,Tofu Power Bowl,Full Body Strength Basics,beginner,79.19,Goblet Squat|Incline Push-Up|Dumbbell Row|Hip Bridge|Dead Bug,"Balanced tofu bowl with quinoa, greens, and seeds.","Focus on form, 3 sessions/week, and progressive consistency."
29.77,604.44,non_veg,none,,maintenance,89,beginner,moderate,83.38,1546.85,20,11606.78,20.13,69.24,12,average,Turkey Rice Bowl,Mobility and Core Flow,advanced,80.8,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Lean turkey with rice and roasted vegetables.,"Periodize training, recover well, and target performance blocks."
23.5,272.95,non_veg,soy_allergy,,fat_loss,45,advanced,low,52.45,2220.41,18,10977.94,27.73,70.34,12,poor,Turkey Lettuce Wrap,Athlete HIIT Blast,beginner,54.19,Sprint Intervals|Box Jumps|Burpee Broad Jumps|Medicine Ball Slams|Skater Hops,Low-calorie turkey wraps with crunchy lettuce.,"Focus on form, 3 sessions/week, and progressive consistency."
41.95,880.13,non_veg,none,,muscle,58,beginner,moderate,93.31,1775.56,6,5265.37,19.31,87.92,7,average,Chicken Quinoa Plate,Full Body Strength Basics,intermediate,92.26,Goblet Squat|Incline Push-Up|Dumbbell Row|Hip Bridge|Dead Bug,Lean chicken with quinoa and mixed vegetables.,Use progressive overload and mix strength with conditioning.
44.51,356.43,non_veg,egg_allergy|nut_allergy,,fat_loss,29,beginner,moderate,114.04,2885.52,4,10687.75,29.59,74.16,3,poor,Grilled Fish Salad,HIIT Starter Circuit,beginner,113.91,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,Omega-rich fish with fresh vegetables and olive oil.,"Focus on form, 3 sessions/week, and progressive consistency."
12.79,366.97,veg,gluten_intolerance,,muscle,30,intermediate,moderate,89.84,1883.65,10,12420.56,35.66,57.0,2,average,Quinoa Vegetable Plate,Upper Lower Strength Split,beginner,89.5,Barbell Bench Press|Romanian Deadlift|Lat Pulldown|Walking Lunges|Dumbbell Shoulder Press,Gluten-aware quinoa plate with seasonal vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
35.12,255.27,veg,egg_allergy,,fat_loss,40,beginner,moderate,99.7,1445.72,7,4158.88,34.69,50.7,9,good,Low-Cal Veg Soup,HIIT Starter Circuit,intermediate,99.58,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,Low-calorie vegetable soup for fat-loss support.,Use progressive overload and mix strength with conditioning.
14.7,426.46,veg,egg_allergy|lactose_intolerance,,muscle,45,intermediate,low,95.2,3089.58,11,15023.16,32.76,92.46,8,average,Dairy-Free Protein Bowl,Upper Lower Strength Split,beginner,96.61,Barbell Bench Press|Romanian Deadlift|Lat Pulldown|Walking Lunges|Dumbbell Shoulder Press,Lactose-safe protein meal without milk products.,"Focus on form, 3 sessions/week, and progressive consistency."
49.71,726.07,non_veg,nut_allergy,,maintenance,88,intermediate,moderate,105.99,1816.06,15,15009.31,32.63,83.91,4,poor,Turkey Rice Bowl,Strength and Cardio Mix,beginner,104.11,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Lean turkey with rice and roasted vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
37.22,707.9,non_veg,none,,fat_loss,34,beginner,moderate,87.19,2010.91,4,15194.02,28.58,87.39,9,average,Grilled Fish Salad,HIIT Starter Circuit,intermediate,86.73,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,Omega-rich fish with fresh vegetables and olive oil.,Use progressive overload and mix strength with conditioning.
36.47,646.59,non_veg,egg_allergy|nut_allergy,,muscle,78,intermediate,moderate,80.54,2014.31,14,10689.33,19.24,54.42,6,average,Chicken Quinoa Plate,Volume Hypertrophy Session,intermediate,79.6,Leg Press|Incline Dumbbell Press|Chest-Supported Row|Seated Leg Curl|Cable Lateral Raise,Lean chicken with quinoa and mixed vegetables.,Use progressive overload and mix strength with conditioning.
26.92,706.41,veg,none,,maintenance,69,beginner,low,90.06,2932.9,2,7163.75,21.48,58.47,2,good,Veggie Brown Rice Plate,Mobility and Core Flow,intermediate,90.53,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Brown rice with mixed vegetables and legumes.,Use progressive overload and mix strength with conditioning.
54.57,614.69,veg,egg_allergy,,fat_loss,28,intermediate,low,76.08,1826.22,2,12171.89,20.42,84.61,10,average,Chickpea Spinach Stir Fry,Metabolic Conditioning,intermediate,75.93,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,Plant-protein chickpeas with sauteed spinach.,Use progressive overload and mix strength with conditioning.
46.45,816.74,veg,none,,muscle,34,advanced,moderate,68.3,1635.99,2,2561.55,19.16,48.66,4,good,High-Protein Chickpea Stir Fry,Push Pull Legs Intense,intermediate,68.66,Barbell Back Squat|Bench Press|Bent-Over Row|Overhead Press|Conventional Deadlift,High-protein chickpea meal for muscle gain.,Use progressive overload and mix strength with conditioning.
32.18,891.38,non_veg,gluten_intolerance,,muscle,38,beginner,moderate,78.41,2098.09,21,6232.02,30.9,68.24,2,average,Chicken Quinoa Plate,Full Body Strength Basics,beginner,78.51,Goblet Squat|Incline Push-Up|Dumbbell Row|Hip Bridge|Dead Bug,Lean chicken with quinoa and mixed vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
48.97,638.85,veg,lactose_intolerance,,fat_loss,88,beginner,moderate,77.67,2337.83,11,4608.71,17.21,57.56,5,average,Lentil Greens Salad,HIIT Starter Circuit,intermediate,78.0,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,High-fiber lentils with leafy greens and lemon dressing.,Use progressive overload and mix strength with conditioning.
16.93,701.14,veg,none,,maintenance,39,advanced,moderate,102.99,2634.44,18,16542.07,31.05,68.64,6,average,Veggie Brown Rice Plate,Hybrid Endurance Strength,beginner,102.63,Front Squat|Pull-Ups|Farmer Carry|Stationary Bike Intervals|Hanging Knee Raises,Brown rice with mixed vegetables and legumes.,"Focus on form, 3 sessions/week, and progressive consistency."
50.6,831.97,non_veg,gluten_intolerance,,maintenance,64,intermediate,moderate,92.1,1906.67,18,3414.35,34.61,68.07,7,average,Chicken Quinoa Plate,Strength and Cardio Mix,beginner,91.85,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Lean chicken with quinoa and mixed vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
12.59,360.02,non_veg,none,,muscle,65,intermediate,low,64.58,2845.47,12,4930.65,21.01,77.4,2,good,Chicken Quinoa Plate,Upper Lower Strength Split,beginner,66.14,Barbell Bench Press|Romanian Deadlift|Lat Pulldown|Walking Lunges|Dumbbell Shoulder Press,Lean chicken with quinoa and mixed vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
52.78,712.07,veg,none,,fat_loss,38,beginner,moderate,86.83,2398.6,15,12197.87,26.17,89.02,1,average,Lentil Greens Salad,HIIT Starter Circuit,beginner,85.87,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,High-fiber lentils with leafy greens and lemon dressing.,"Focus on form, 3 sessions/week, and progressive consistency."
52.09,429.09,veg,none,,muscle,63,advanced,moderate,105.49,2611.43,15,16736.67,19.49,84.53,6,poor,High-Protein Chickpea Stir Fry,Push Pull Legs Intense,beginner,104.38,Barbell Back Squat|Bench Press|Bent-Over Row|Overhead Press|Conventional Deadlift,High-protein chickpea meal for muscle gain.,"Focus on form, 3 sessions/week, and progressive consistency."
54.09,566.51,non_veg,none,,fat_loss,87,beginner,moderate,103.33,2122.56,3,2553.91,23.53,83.76,10,poor,Grilled Fish Salad,HIIT Starter Circuit,intermediate,103.2,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,Omega-rich fish with fresh vegetables and olive oil.,Use progressive overload and mix strength with conditioning.
43.18,698.85,veg,lactose_intolerance,,fat_loss,46,beginner,moderate,74.21,1560.76,7,7530.64,27.45,68.68,10,poor,Lentil Greens Salad,HIIT Starter Circuit,intermediate,72.92,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,High-fiber lentils with leafy greens and lemon dressing.,Use progressive overload and mix strength with conditioning.
25.87,810.16,non_veg,nut_allergy,,muscle,59,intermediate,low,85.43,2317.96,21,10309.93,21.28,57.83,1,poor,Chicken Quinoa Plate,Upper Lower Strength Split,beginner,87.18,Barbell Bench Press|Romanian Deadlift|Lat Pulldown|Walking Lunges|Dumbbell Shoulder Press,Lean chicken with quinoa and mixed vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
42.8,560.89,veg,none,,muscle,86,advanced,low,69.02,1752.22,21,6087.75,30.04,82.62,2,poor,High-Protein Chickpea Stir Fry,Volume Hypertrophy Session,beginner,69.33,Leg Press|Incline Dumbbell Press|Chest-Supported Row|Seated Leg Curl|Cable Lateral Raise,High-protein chickpea meal for muscle gain.,"Focus on form, 3 sessions/week, and progressive consistency."
43.04,469.76,non_veg,none,,muscle,66,intermediate,low,68.46,1849.1,16,6275.56,28.24,71.23,9,average,High-Protein Grilled Chicken,Upper Lower Strength Split,beginner,68.85,Barbell Bench Press|Romanian Deadlift|Lat Pulldown|Walking Lunges|Dumbbell Shoulder Press,High-protein grilled chicken with vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
33.87,443.82,veg,none,,fat_loss,74,beginner,low,95.39,2466.52,17,16321.34,23.45,54.19,12,good,Lentil Greens Salad,HIIT Starter Circuit,advanced,96.23,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,High-fiber lentils with leafy greens and lemon dressing.,"Periodize training, recover well, and target performance blocks."
34.19,322.59,non_veg,none,,muscle,45,intermediate,high,68.2,1448.18,21,3125.71,26.41,58.81,8,average,Chicken Quinoa Plate,Upper Lower Strength Split,advanced,65.3,Barbell Bench Press|Romanian Deadlift|Lat Pulldown|Walking Lunges|Dumbbell Shoulder Press,Lean chicken with quinoa and mixed vegetables.,"Periodize training, recover well, and target performance blocks."
42.66,329.2,veg,none,,maintenance,48,beginner,high,72.62,2672.65,14,6828.77,21.98,88.54,3,average,Veggie Brown Rice Plate,Mobility and Core Flow,intermediate,72.85,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Brown rice with mixed vegetables and legumes.,Use progressive overload and mix strength with conditioning.
40.93,374.19,non_veg,shellfish_allergy,,muscle,89,beginner,moderate,81.67,3030.57,13,6960.49,23.98,50.83,8,average,Lean Chicken Veg Plate,Volume Hypertrophy Session,intermediate,83.11,Leg Press|Incline Dumbbell Press|Chest-Supported Row|Seated Leg Curl|Cable Lateral Raise,Shellfish-free lean chicken and vegetable plate.,Use progressive overload and mix strength with conditioning.
17.94,866.33,veg,nut_allergy,,fat_loss,35,intermediate,low,111.27,2794.1,15,5753.2,34.32,85.45,10,poor,Moong Sprout Salad,Metabolic Conditioning,beginner,113.38,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,Nut-free sprouts salad with herbs and lime.,"Focus on form, 3 sessions/week, and progressive consistency."
16.0,495.04,non_veg,none,,fat_loss,42,beginner,low,115.59,1644.98,14,12004.65,31.21,85.29,8,poor,Grilled Fish Salad,HIIT Starter Circuit,beginner,114.58,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,Omega-rich fish with fresh vegetables and olive oil.,"Focus on form, 3 sessions/week, and progressive consistency."
30.06,886.01,veg,none,,maintenance,89,advanced,moderate,81.15,2816.78,9,7150.63,30.85,50.12,0,poor,Veggie Brown Rice Plate,Hybrid Endurance Strength,beginner,82.14,Front Squat|Pull-Ups|Farmer Carry|Stationary Bike Intervals|Hanging Knee Raises,Brown rice with mixed vegetables and legumes.,"Focus on form, 3 sessions/week, and progressive consistency."
12.88,371.0,veg,none,,fat_loss,38,advanced,low,77.86,2587.14,9,2519.87,27.99,74.07,8,poor,Lentil Greens Salad,Athlete HIIT Blast,beginner,79.44,Sprint Intervals|Box Jumps|Burpee Broad Jumps|Medicine Ball Slams|Skater Hops,High-fiber lentils with leafy greens and lemon dressing.,"Focus on form, 3 sessions/week, and progressive consistency."
20.83,666.59,veg,lactose_intolerance|soy_allergy,,fat_loss,88,beginner,moderate,85.93,1713.27,3,5156.29,27.56,73.71,7,average,Lentil Greens Salad,HIIT Starter Circuit,intermediate,86.07,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,High-fiber lentils with leafy greens and lemon dressing.,Use progressive overload and mix strength with conditioning.
33.42,773.99,veg,none,,muscle,81,intermediate,moderate,53.45,1323.2,24,4045.42,25.33,91.87,4,poor,Tofu Power Bowl,Volume Hypertrophy Session,beginner,51.19,Leg Press|Incline Dumbbell Press|Chest-Supported Row|Seated Leg Curl|Cable Lateral Raise,"Balanced tofu bowl with quinoa, greens, and seeds.","Focus on form, 3 sessions/week, and progressive consistency."
52.97,362.72,non_veg,none,,fat_loss,63,beginner,moderate,80.77,2414.83,13,7266.84,21.36,55.01,11,good,Grilled Fish Salad,HIIT Starter Circuit,advanced,80.68,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,Omega-rich fish with fresh vegetables and olive oil.,"Periodize training, recover well, and target performance blocks."
50.89,520.8,veg,none,,fat_loss,77,advanced,low,84.38,2445.22,4,8509.09,31.44,76.64,4,good,Lentil Greens Salad,Athlete HIIT Blast,beginner,85.15,Sprint Intervals|Box Jumps|Burpee Broad Jumps|Medicine Ball Slams|Skater Hops,High-fiber lentils with leafy greens and lemon dressing.,"Focus on form, 3 sessions/week, and progressive consistency."
18.56,854.1,veg,none,,fat_loss,39,advanced,moderate,53.59,1323.98,4,11156.39,34.92,58.37,0,average,Lentil Greens Salad,Athlete HIIT Blast,beginner,52.67,Sprint Intervals|Box Jumps|Burpee Broad Jumps|Medicine Ball Slams|Skater Hops,High-fiber lentils with leafy greens and lemon dressing.,"Focus on form, 3 sessions/week, and progressive consistency."
38.56,613.67,non_veg,egg_allergy|gluten_intolerance,,muscle,89,beginner,low,105.42,2737.75,3,6827.08,17.8,93.94,9,good,Chicken Quinoa Plate,Volume Hypertrophy Session,beginner,104.92,Leg Press|Incline Dumbbell Press|Chest-Supported Row|Seated Leg Curl|Cable Lateral Raise,Lean chicken with quinoa and mixed vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
44.97,368.16,non_veg,none,,muscle,28,beginner,low,101.3,2008.56,3,4583.41,25.91,60.59,7,poor,High-Protein Grilled Chicken,Full Body Strength Basics,beginner,101.51,Goblet Squat|Incline Push-Up|Dumbbell Row|Hip Bridge|Dead Bug,High-protein grilled chicken with vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
50.55,418.57,veg,none,,muscle,78,beginner,moderate,49.6,1348.45,14,13194.32,18.57,79.96,6,average,High-Protein Chickpea Stir Fry,Volume Hypertrophy Session,intermediate,46.42,Leg Press|Incline Dumbbell Press|Chest-Supported Row|Seated Leg Curl|Cable Lateral Raise,High-protein chickpea meal for muscle gain.,Use progressive overload and mix strength with conditioning.
41.0,590.37,non_veg,nut_allergy,,maintenance,55,beginner,moderate,65.77,2559.49,12,11009.96,25.4,78.81,11,good,Turkey Rice Bowl,Mobility and Core Flow,advanced,65.61,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Lean turkey with rice and roasted vegetables.,"Periodize training, recover well, and target performance blocks."
33.22,533.15,veg,gluten_intolerance|lactose_intolerance,,fat_loss,78,intermediate,moderate,69.23,1485.64,21,8806.46,32.98,91.78,7,poor,Quinoa Vegetable Plate,Metabolic Conditioning,beginner,67.28,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,Gluten-aware quinoa plate with seasonal vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
16.9,653.36,non_veg,nut_allergy,,maintenance,44,intermediate,moderate,108.3,2393.29,16,7785.34,19.41,75.96,10,poor,Turkey Rice Bowl,Strength and Cardio Mix,intermediate,108.42,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Lean turkey with rice and roasted vegetables.,Use progressive overload and mix strength with conditioning.
52.64,587.9,non_veg,none,,muscle,31,intermediate,high,111.79,2406.39,4,15623.43,35.93,78.16,4,average,High-Protein Grilled Chicken,Upper Lower Strength Split,beginner,111.21,Barbell Bench Press|Romanian Deadlift|Lat Pulldown|Walking Lunges|Dumbbell Shoulder Press,High-protein grilled chicken with vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
16.61,608.57,veg,shellfish_allergy|soy_allergy,,muscle,41,beginner,low,91.02,1632.11,4,16473.97,19.24,88.74,9,good,Tofu Power Bowl,Full Body Strength Basics,intermediate,90.64,Goblet Squat|Incline Push-Up|Dumbbell Row|Hip Bridge|Dead Bug,"Balanced tofu bowl with quinoa, greens, and seeds.",Use progressive overload and mix strength with conditioning.
40.83,779.86,non_veg,nut_allergy,,muscle,66,beginner,low,63.53,1563.3,13,13832.99,29.33,76.82,6,good,Chicken Quinoa Plate,Full Body Strength Basics,beginner,62.27,Goblet Squat|Incline Push-Up|Dumbbell Row|Hip Bridge|Dead Bug,Lean chicken with quinoa and mixed vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
35.44,387.03,veg,lactose_intolerance|nut_allergy,,fat_loss,84,beginner,low,77.29,2403.43,15,16622.48,17.4,50.78,7,average,Moong Sprout Salad,HIIT Starter Circuit,beginner,77.49,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,Nut-free sprouts salad with herbs and lime.,"Focus on form, 3 sessions/week, and progressive consistency."
38.5,349.49,veg,none,,maintenance,86,intermediate,moderate,82.48,2454.14,24,4098.28,29.99,53.1,0,average,Veggie Brown Rice Plate,Strength and Cardio Mix,beginner,83.97,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Brown rice with mixed vegetables and legumes.,"Focus on form, 3 sessions/week, and progressive consistency."
40.0,357.49,non_veg,none,,maintenance,80,beginner,moderate,96.47,2133.49,8,13263.17,18.48,55.57,9,average,Turkey Rice Bowl,Mobility and Core Flow,intermediate,96.5,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Lean turkey with rice and roasted vegetables.,Use progressive overload and mix strength with conditioning.
12.25,584.44,veg,lactose_intolerance,,muscle,73,beginner,high,109.75,2966.38,5,10851.33,35.71,55.06,2,good,Dairy-Free Protein Bowl,Full Body Strength Basics,intermediate,109.06,Goblet Squat|Incline Push-Up|Dumbbell Row|Hip Bridge|Dead Bug,Lactose-safe protein meal without milk products.,Use progressive overload and mix strength with conditioning.
54.2,762.47,veg,none,,fat_loss,86,advanced,high,95.65,2146.95,15,13246.84,32.66,79.76,1,poor,Lentil Greens Salad,Sprint Interval Circuit,beginner,93.38,Treadmill Sprint|Walking Recovery|Jump Squats|Push-Up to T Rotation|Plank Knee Drive,High-fiber lentils with leafy greens and lemon dressing.,"Focus on form, 3 sessions/week, and progressive consistency."
54.8,860.74,veg,none,,muscle,89,advanced,moderate,96.54,1400.8,9,12272.53,32.96,60.91,12,average,High-Protein Chickpea Stir Fry,Volume Hypertrophy Session,intermediate,95.46,Leg Press|Incline Dumbbell Press|Chest-Supported Row|Seated Leg Curl|Cable Lateral Raise,High-protein chickpea meal for muscle gain.,Use progressive overload and mix strength with conditioning.
41.14,327.52,non_veg,lactose_intolerance|nut_allergy,,muscle,81,advanced,high,105.94,2983.59,18,2675.23,24.48,80.43,5,average,Dairy-Free Protein Bowl,Volume Hypertrophy Session,intermediate,106.98,Leg Press|Incline Dumbbell Press|Chest-Supported Row|Seated Leg Curl|Cable Lateral Raise,Lactose-safe protein meal without milk products.,Use progressive overload and mix strength with conditioning.
